final_number,reference,status,notes
11,"Aleksic, I.; Rais-Bahrami, S.; Daugherty, M.; Agarwal, P.K.; Vourganti, S.; Bratslavsky, G. Primary urethral carcinoma: a Surveillance, Epidemiology, and End Results data analysis identifying predictors of cancer-specific survival. Urol Ann 2018, 10, 170–174. https://doi.org/10.4103/UA.UA_136_17.",retained,
12,"Zi, H.; Gao, L.; Yu, Z.; et al. Nomograms for predicting long-term overall survival and cancer-specific survival in patients with primary urethral carcinoma: a population-based study. Int Urol Nephrol 2020, 52, 287–300. https://doi.org/10.1007/s11255-019-02314-y.",retained,
13,"Wu, J.; Wang, Y.C.; Luo, W.J.; et al. Primary tumor surgery improves survival in non-metastatic primary urethral carcinoma patients: a large population-based investigation. BMC Cancer 2021, 21, 857. https://doi.org/10.1186/s12885-021-08603-z.",retained,
14,"Hieke, S.; Kleber, M.; König, C.; Engelhardt, M.; Schumacher, M. Conditional survival: a useful concept to provide information on how prognosis evolves over time. Clin Cancer Res 2015, 21, 1530–1536. https://doi.org/10.1158/1078-0432.CCR-14-2154.",retained,
15,"Liu, W.; Xiong, J.; Wang, H.; et al. Racial disparities in conditional survival of patients with bladder cancer: a population-based study. BMC Urol 2023, 23, 122. https://doi.org/10.1186/s12894-023-01293-8.",retained,
16,"Morra, S.; Scheipner, L.; Baudo, A.; et al. Contemporary conditional cancer-specific survival rates in surgically treated nonmetastatic primary urethral carcinoma. J Surg Oncol 2024, 129, 1348–1353. https://doi.org/10.1002/jso.27637.",retained,
17,"Moreno, M.F.; Kaul, S.; Fleishman, A.; et al. Conditional survival following radical cystectomy for urothelial carcinoma of the bladder. Urol Oncol 2023, 41, 432.e11–432.e20. https://doi.org/10.1016/j.urolonc.2023.06.004.",retained,Corrected publication metadata
18,"Park, J.; Han, K.; Shin, D.W.; Park, S.H.; Shin, H.B. Conditional relative survival and competing mortality of patients with prostate cancer in Korea: a nationwide cohort study. Cancer Epidemiol Biomarkers Prev 2021, 30, 326–334. https://doi.org/10.1158/1055-9965.EPI-20-1084.",retained,
19,"Yu, D.D.; Chen, W.K.; Wu, C.Y.; et al. Cause of death during renal cell carcinoma survivorship: a contemporary, population-based analysis. Front Oncol 2022, 12, 864132. https://doi.org/10.3389/fonc.2022.864132.",retained,
20,"Shao, N.; Wan, F.; Abudurexiti, M.; Wang, J.; Zhu, Y.; Ye, D. Causes of death and conditional survival of renal cell carcinoma. Front Oncol 2019, 9, 591. https://doi.org/10.3389/fonc.2019.00591.",retained,
21,"National Cancer Institute, Surveillance, Epidemiology, and End Results Program. Incidence—SEER Research Data, 17 Registries, Nov 2025 Submission (2000–2023), Linked to County Attributes. Released 2026. Accessed under the SEER Data-Use Agreement.",retained,
22,"Forjaz, G.; Howlader, N.; Scoppa, S.; Johnson, C.J.; Mariotto, A.B. Impact of including second and later cancers in cause-specific survival estimates using population-based registry data. Cancer 2022, 128, 547–557. https://doi.org/10.1002/cncr.33940.",retained,
23,"Anderson, J.R.; Cain, K.C.; Gelber, R.D. Analysis of survival by tumor response. J Clin Oncol 1983, 1, 710–719. https://doi.org/10.1200/JCO.1983.1.11.710.",retained,
24,"Dafni, U. Landmark analysis at the 25-year landmark point. Circ Cardiovasc Qual Outcomes 2011, 4, 363–371. https://doi.org/10.1161/CIRCOUTCOMES.110.957951.",retained,
25,"Andersen, P.K.; Geskus, R.B.; de Witte, T.; Putter, H. Competing risks in epidemiology: possibilities and pitfalls. Int J Epidemiol 2012, 41, 861–870. https://doi.org/10.1093/ije/dyr213.",retained,
26,"Fine, J.P.; Gray, R.J. A proportional hazards model for the subdistribution of a competing risk. J Am Stat Assoc 1999, 94, 496–509. https://doi.org/10.1080/01621459.1999.10474144.",retained,
27,"Austin, P.C.; Fine, J.P. Practical recommendations for reporting Fine–Gray model analyses for competing risk data. Stat Med 2017, 36, 4391–4400. https://doi.org/10.1002/sim.7501.",retained,
28,"Mani, K.; Deng, D.; Lin, C.; et al. Causes of death among people living with metastatic cancer. Nat Commun 2024, 15, 1519. https://doi.org/10.1038/s41467-024-45307-x.",retained,
